__label__anger __label__sadness	indeed , i hate it ! but sadly no , i could not find an alternative … sorry ☹️
__label__joy	faststrings be leap and bound fast than the normal delphi stringreplace function . i really hope peter release a new version for delphi .
__label__sadness __label__fear	that what i be afraid of ! cause my knowledge about ajax be #crd# ☹️
__label__love __label__joy	excellent ! glad that sort it
__label__love __label__joy	for this 🙂 you make my day ! ! when write the question i be not sure if it be relate to " brook 's mythicalman month " and skip it . here i go .. and it 's persist for eternity on stackoverflow 🙂 i be really " rofl " that stackoverflow can answer question like this !
__label__love __label__joy	awesome ! it work
__label__love __label__joy	awesome - what start off as a gripe turn into a real educational experience - thanks everyone !
__label__love __label__joy	i really enjoy the !
__label__love __label__joy	excellent ! thank you for your perseverence 🙂
__label__surprise	why do the test return false ?
__label__surprise	i do not know that . i always think it be and .
__label__surprise	i have do some research for " the bast way to insert huge datum into db with c # " then a lot of people just suggest me use sqlbulkcopy . after i try it out and it really amaze me . undoubtedly , sqlbulkcopy be very very fast . it seem that sqlbulkcopy be a perfect way to insert datum ( especially huge datum ) . but why do nt we use it at all time . be there any drawback of use sqlbulkcopy ?
__label__joy __label__sadness	yes .. all this work .. but if the user press their refresh button on their browser it will add another record .
__label__fear	i be about to alter the several table in a massive system which i probably only understand around % . i want to add #crd# column . #crd# of these be just a rename of an exist column . part of me want to :- rename the column but worried about the impact on unknown part of the system that use the old name . append the #crd# column to the table therefore make the old column redundant ( over time ) .
__label__fear	it sound very scary to me to use a floating point number for a key in a ` map ` .
__label__fear	i must investigate far , but i fear it 's not : big precompiled piece of middleware ahead !
__label__fear	be this valid ? what i be really worried about be can you specify type and also use def at the same time ?
__label__fear	when i click on memcache viewer the whole dashboard crash and i have to login again . this be really worry me as we be serve datum to many user . a server error have occur . be there a way to see the internal log ? i can not see anything in nor . be there any other way to reset the memcache ?
__label__fear	i have a django application build in our shop and currently we be move to production that will run a apache web server . the application will run on multiple webservers due to load issue . now , i be really worried since it 's run multiple webservers . issue - the application generate unique id for session management and maintain it locally . now , if a user go to webservers - a and create a unique id and then in the next request go to webservers - b he will be invalidate because the unique id create for him will be local to webservers - a. how can i fix this issue ?
__label__fear	nope … do not fix it i be afraid !
__label__fear	my application link against libsamplerate.a . i be do this to make distribute the final binary easy . i be worried that perhaps the code inside the . a file depend on some other library i also will need to distribute . but if it do not i be worried i be bloat up my application too much by include multiple copy of eg . libc . what exactly will be inside libsamplerate.a ? just libsamperate 's bytecode ? or more ?
