__label__sadness __label__fear	this code be scary ☹️
__label__love	you should definitely check out jon rista 's #crd# - part series on . net configuration up on codeproject . highly recommend , well write and extremely helpful ! he show how to create and use custom configuration section , and go on to explain how to use your own custom . config instead of or in addition to standard . net config file . marc
__label__love	i be a new user to the site , and new to vba . i be just try to get the content of multiple text box ( from many different sheet ) into #crd# sheet . right now , i have be stick on get the information from a single text box into a variable . at this point in time , i just want it to retain the line feed ( new line , enter , return , etc ) . even if i could just copy / paste the information , at this point , i can not even access the text box via vba . if anyone could help out , that would be really great ! thanks .
__label__love	ryan oberoi make an excellent suggestion , but it 's a bit overkill for my small asp . net mvc web application . i like lobstrosity 's idea since it could apply to any class tag and its short and simple … just what i need . both be good answer yet #crd# solve the general question ( involve a css framework ) and the other #crd# solve my specific need … i guess i should select ryan 's response as the solution as it would probably help other more … any suggestion ?
__label__love	here be my table . and here be my object class i be brand new to dapper and orm in general , so please bare with me . would a many - to - many relationship be possible to map out with dapper ? if so , could someone provide a coding sample , that would be extremely helpful ! i be also open to switch to a heavy orm if that would make these advanced mapping scenario a lot simple .
__label__love	in my database i have these #crd# table ( project and theme ) . i also have a middle table call project_theme which contain projectid and theme . in theme there be about value pre-setted . i be able to display all these theme into checkboxes however i do not know how to save them in my database . here be my controller : here be my model : and my #ord# model : finally here be my create view : so please if there be anyone that could help me , it would be really great 🙂
__label__love	i want to programatically detect if my site be within the facebook iframe app so i can display certain feature specifically for facebook . otherwise if someone go site without facebook . preferably an fbml , c # or js solution would be great 🙂 thx !
__label__love	i can not get any event trigger to work . a simplify example of what i be do be below - i know there be a event on border since it be define in but i be still get can not convert string ' mouseenter ' in attribute ' routedevent ' to object of type ' #hlink# ' as soon as i run the application . any help would be hugely appreciate .
__label__love	work excellent , many thanks !
__label__love	excellent question and i agree , it should be throw an http not authorize status .
__label__love	i have a piece of json string , which i want to parse in erlang . it look like : i look at mochijson0 , and a couple of other json parser , but i really could not figure out how to do it . any help greatly appreciate !
